year,code,station,state,section_title,waterbody,temp_min,temp_max,do_min,do_max,ph_min,ph_max,cond_min,cond_max,bod_min,bod_max,nitrate_min,nitrate_max,fecal_min,fecal_max,total_coli_min,total_coli_max
2022,1001,RIVER BEAS AT U/S MANALI,HIMACHAL PRADESH,Beas,BEAS,2,17,7.2,9.9,7.31,8.19,74,403,BDL,BDL,0.32,1.22,11,110,94,540
2022,2601,RIVER BEAS AT D/S MANALI,HIMACHAL PRADESH,Beas,BEAS,2,10,7.9,9.9,7.06,8.48,68,133,1.8,1.8,0.33,1.49,94,1600,540,1600
2022,4444,RIVER BEAS D/S OF WASTE PROCESSING FACILITY AT MANALI,HIMACHAL PRADESH,Beas,BEAS,2,10,7.6,9.7,7.22,8.38,50,123,1.2,2,0.32,1.85,110,1600,540,1600
2022,4037,RIVER BEAS D/S MANALSU NALLAH,HIMACHAL PRADESH,Beas,BEAS,2,9,7.6,10,7.24,8.28,55,150,BDL,BDL,0.32,1.77,39,79,210,350
2022,3866,RIVER BEAS U/S BEFORE CONF. OF MANALSU NALLAH,HIMACHAL PRADESH,Beas,BEAS,1,8,7.7,9.9,7.25,8.48,50,304,BDL,BDL,0.32,1.78,21,84,140,350
2022,2602,"RIVER BEAS, U/S KULLU",HIMACHAL PRADESH,Beas,,3,11,7.8,8.9,7.52,8.45,72,129,BDL,BDL,0.32,1.59,63,210,280,1600
2022,4445,RIVER BEAS D/S OF WASTE PROCESSING FACILITY AT KULLU,HIMACHAL PRADESH,Beas,BEAS,4,17,7.8,9.7,7.53,8.48,92,270,1.1,1.1,0.32,1.7,110,1600,540,1600
2022,1002,RIVER BEAS D/S KULLU,HIMACHAL PRADESH,Beas,BEAS,4,17,7.9,10.1,7.42,8.48,82,130,1.4,1.4,0.32,1.99,130,920,540,1600
2022,1003,RIVER BEAS D/S AUT,HIMACHAL PRADESH,Beas,BEAS,6,17,7.1,8.6,7.27,8.52,58,123,BDL,BDL,0.32,2.46,43,110,210,540
2022,2603,"RIVER BEAS, D/S PANDOH DAM",HIMACHAL PRADESH,Beas,,9,24,8.3,9.5,7.48,8.68,86,172,BDL,BDL,0.32,1.85,58,94,280,430
2022,1005,RIVER BEAS AT EXIT OF DEHAR POWER HOUSE,HIMACHAL PRADESH,Beas,BEAS,10,28,8.6,9.7,7.01,8.48,128,292,BDL,BDL,0.32,1.3,79,140,240,550
2022,1550,"BEAS RIVER, U/S OF MANDI TOWN",HIMACHAL PRADESH,Beas,,9,25,7.9,9.6,7.68,8.48,113,167,BDL,BDL,0.32,1.51,25,84,150,280
2022,1006,RIVER BEAS D/S MANDI TOWN,HIMACHAL PRADESH,Beas,BEAS,7,25,7.2,9.5,7.6,8.47,92,360,1.1,1.1,0.32,1.64,94,920,350,1600
2022,2604,RIVER BEAS AT D/S JAISINGHPUR,HIMACHAL PRADESH,Beas,BEAS,10,25,7.8,9.1,7.4,8.13,146,348,BDL,BDL,BDL,6.98,2,70,15,350
2022,1007,RIVER BEAS AT D/S ALAMPUR,HIMACHAL PRADESH,Beas,BEAS,5,23,8.1,9.4,7.52,8.12,154,320,BDL,BDL,BDL,6.27,2,49,12,350
