year,code,station,state,section_title,waterbody,temp_min,temp_max,do_min,do_max,ph_min,ph_max,cond_min,cond_max,bod_min,bod_max,nitrate_min,nitrate_max,fecal_min,fecal_max,total_coli_min,total_coli_max
2023,1001,RIVER BEAS AT U/S MANALI,HIMACHAL PRADESH,Beas,BEAS,2.0,24.0,7.8,9.2,,7.2  8.2,68,380,1.0,2.8,0.32,1.15,2,170,63,540
2023,2601,RIVER BEAS AT D/S MANALI,HIMACHAL PRADESH,Beas,BEAS,2.0,13.0,7.6,9.0,,6.5  8.1,58,135,1.0,2.8,0.32,1.87,110,1600,920,1600
2023,4444,RIVER BEAS D/S OF WASTE PROCESSING FACILITY AT MANALI,HIMACHAL PRADESH,Beas,BEAS,2.0,13.0,7.8,8.8,,6.7  7.8,62,113,1.0,2.8,0.32,1.08,110,1600,350,1600
2023,4037,RIVER BEAS D/S MANALSU NALLAH,HIMACHAL PRADESH,Beas,BEAS,2.0,14.0,7.9,8.9,,6.3  8.0,52,137,1.0,1.0,0.32,1.74,22,110,79,540
2023,3866,RIVER BEAS U/S BEFORE CONF. OF MANALSU NALLAH,HIMACHAL PRADESH,Beas,BEAS,2.0,13.0,7.8,9.1,,7.0  7.8,51,113,1.0,1.0,0.32,0.97,23,120,110,430
2023,2602,"RIVER BEAS, U/S KULLU",HIMACHAL PRADESH,Beas,,4.0,16.0,7.6,8.7,,6.7  7.8,44,128,1.0,1.0,0.32,0.90,49,220,240,920
2023,4445,RIVER BEAS D/S OF WASTE PROCESSING FACILITY AT KULLU,HIMACHAL PRADESH,Beas,BEAS,4.0,16.0,7.6,8.4,,6.6  7.7,73,170,1.0,1.6,0.32,0.96,47,150,280,920
2023,1002,RIVER BEAS D/S KULLU,HIMACHAL PRADESH,Beas,BEAS,4.0,16.0,7.5,8.4,,7.2  8.0,77,144,1.0,1.6,0.32,2.65,110,540,540,1600
2023,1003,RIVER BEAS D/S AUT,HIMACHAL PRADESH,Beas,BEAS,5.0,16.0,7.5,8.1,,7.2  8.2,61,129,1.0,1.0,0.32,0.77,34,280,170,1600
2023,1004,RIVER BEAS AT PANDOH DAM,HIMACHAL PRADESH,Beas,BEAS,9.0,26.0,8.3,9.0,,7.1  8.3,65,205,1.0,1.0,0.32,1.06,22,79,70,430
2023,2603,"RIVER BEAS, D/S PANDOH DAM",HIMACHAL PRADESH,Beas,,8.0,26.0,8.0,9.3,,7.1  8.2,61,202,1.0,1.0,0.32,1.15,41,110,210,920
2023,1005,RIVER BEAS AT EXIT OF DEHAR POWER HOUSE,HIMACHAL PRADESH,Beas,BEAS,10.0,28.0,8.1,9.1,,6.9  8.1,96,280,1.0,1.0,0.32,0.95,17,94,63,350
2023,1550,"BEAS RIVER, U/S OF MANDI TOWN",HIMACHAL PRADESH,Beas,,6.0,25.0,7.8,9.2,,7.2  8.0,80,190,1.0,1.0,0.32,0.98,23,94,120,430
