code,station,state,temp_min,temp_max,do_min,do_max,ph_min,ph_max,cond_min,cond_max,bod_min,bod_max,nitrate_min,nitrate_max,fecal_min,fecal_max,total_coli_min,total_coli_max,fecal_strep_min,fecal_strep_max,year,section_title
1002,"BEAS AT D/S KULU, H.P.",HIMACHAL PRADESH,5.0,14.0,7.4,9.8,7.8,8.2,79,219,0.1,0.4,0.30,1.08,25,63,220,540,,,2018,Beas
1003,"BEAS AT D/S AUT, H.P.",HIMACHAL PRADESH,5.0,15.0,7.3,11.0,7.6,8.4,84,167,0.1,1.6,0.30,1.13,2,34,2,280,,,2018,Beas
1004,"BEAS AT U/S PANDON DAM, H.P.",HIMACHAL PRADESH,9.0,25.0,8.3,11.3,7.3,8.5,69,232,0.1,0.3,0.30,0.98,17,33,130,240,,,2018,Beas
1005,"BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE, H.P.",HIMACHAL PRADESH,8.0,22.0,8.5,11.6,7.9,8.4,100,304,0.1,0.4,0.30,0.44,21,34,130,350,,,2018,Beas
1006,"BEAS AT D/S MANDI, H.P.",HIMACHAL PRADESH,10.0,26.0,6.9,12.0,7.7,8.3,93,310,0.1,0.4,0.30,0.71,20,43,170,430,,,2018,Beas
1007,"BEAS AT D/S ALAMPUR, H.P.",HIMACHAL PRADESH,10.0,19.0,7.2,8.7,6.9,8.3,138,402,0.1,0.8,0.10,1.47,2,7,79,210,,,2018,Beas
1008,"BEAS AT D/S DEHRAGOPIPUR, H.P.",HIMACHAL PRADESH,12.0,18.0,6.7,8.7,7.2,8.4,141,448,0.1,0.8,0.28,2.34,2,6,70,220,,,2018,Beas
1009,"BEAS AT D/S PONG DAM, H.P.",HIMACHAL PRADESH,11.0,18.0,6.9,8.8,6.9,8.2,153,528,0.1,0.4,0.18,2.77,2,6,63,220,,,2018,Beas
1550,"U/S MANDI, H.P",HIMACHAL PRADESH,9.0,24.0,7.2,10.8,7.6,8.3,79,218,0.1,0.1,0.30,0.73,13,27,110,210,,,2018,Beas
2601,BEAS AT D/S MANALI,HIMACHAL PRADESH,4.0,12.0,5.2,10.5,7.6,8.5,86,162,0.1,0.4,0.30,0.84,21,94,210,430,,,2018,Beas
2602,BEAS AT U/S KULLU,HIMACHAL PRADESH,5.0,14.0,7.4,9.9,7.8,8.3,87,734,0.1,0.3,0.30,0.99,21,43,150,430,,,2018,Beas
2603,BEAS AT D/S PANDOH DAM,HIMACHAL PRADESH,9.0,25.0,6.7,11.4,7.0,8.4,73,222,0.1,0.4,0.30,0.98,21,43,150,280,,,2018,Beas
2604,BEAS AT D/S JAISINGHPUR,HIMACHAL PRADESH,10.0,19.0,7.0,8.7,6.9,8.3,139,406,0.2,0.7,0.25,1.29,2,6,79,280,,,2018,Beas
3855,"RIVER BEAS D/S NADAUN BRIDGE, VILL BHADOLI",HIMACHAL PRADESH,12.0,18.0,6.5,8.7,7.4,8.5,151,493,0.1,0.6,0.11,2.61,2,6,79,280,,,2018,Beas
1010,"BEAS AT MIRTHAL BRIDGE, GURDASPUR, PUNJAB",PUNJAB,12.0,36.0,7.3,7.8,7.2,8.2,200,356,1.0,1.4,0.40,1.50,70,220,110,280,,,2018,Beas
1011,"BEAS AT G.T. ROAD UNDER BDG. NEAR KAPURTHALA, PUNJA",PUNJAB,12.0,36.0,7.1,7.7,7.3,7.9,198,272,1.2,1.6,0.80,1.40,110,460,220,630,,,2018,Beas
1012,BEAS AT 100M D/S INDUST. DISCH. GOINDWAL PUNJAB,PUNJAB,13.0,39.0,7.0,8.3,7.2,7.9,180,299,1.2,1.7,0.90,1.40,79,360,170,630,,,2018,Beas
1294,"BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT MUKERIAN ,",PUNJAB,13.0,36.0,6.8,7.4,7.2,8.0,224,310,1.6,2.5,0.90,1.80,130,610,280,3500,,,2018,Beas
1693,"BEAS AT TALWARA H/W, PUNJAB",PUNJAB,12.0,27.0,7.5,8.1,7.2,7.8,186,266,0.0,1.1,0.30,0.80,33,79,70,110,,,2018,Beas
1694,"U/S PATHANKOT, PUNJAB",PUNJAB,13.0,33.0,7.0,7.9,7.0,8.3,196,268,0.0,1.4,0.50,1.40,70,230,110,460,,,2018,Beas
1695,"D/S PATHANKOT, PUNJAB",PUNJAB,13.0,35.0,6.6,7.6,7.1,8.0,218,290,1.1,2.0,0.80,1.80,70,460,120,630,,,2018,Beas
1696,"U/S GOINDWAL, PUNJAB",PUNJAB,14.0,39.0,7.4,7.9,7.2,8.0,188,270,1.1,1.5,0.80,1.40,79,280,140,580,,,2018,Beas
1697,"BEAS AT HARIKE, PUNJAB",PUNJAB,12.0,32.0,6.7,8.3,7.3,7.9,220,282,1.2,1.9,0.70,1.40,110,430,220,630,,,2018,Beas
2913,"KALI BEIN FALLING INTO RIVER BEAS, PUNJAB",PUNJAB,13.0,29.0,4.1,6.3,7.0,7.8,285,565,1.7,6.0,1.30,1.90,460,1700,940,3900,,,2018,Beas
4164,"BEAS RIVER, NR VILL KIRI AFGHANA, TEHSIL BATALA",PUNJAB,15.0,37.0,7.1,7.4,7.3,7.9,259,340,1.3,1.9,0.90,1.70,350,790,540,1400,,,2018,Beas
4165,"BEAS RIVER, NR VILL KIRI AFGHANA, TEHSIL BATALA",PUNJAB,26.0,27.0,4.5,6.4,7.7,8.7,990,2300,0.7,2.4,2.46,3.14,3,4,4,11,,,2018,Beas
2611,SUTLEJ AT KHAB,HIMACHAL PRADESH,7.0,13.0,9.4,10.1,7.4,8.5,102,297,0.3,1.6,0.30,1.58,4,17,12,46,,,2018,Sutlej
1389,"SUTLEJ AT NEPTHA ZAKHAI, H.P",HIMACHAL PRADESH,8.0,16.0,8.8,9.6,6.8,8.5,98,199,0.2,2.1,0.30,13.50,14,39,32,220,,,2018,Sutlej
1086,"SUTLEJ AT U/S RAMPUR, H.P.",HIMACHAL PRADESH,9.0,18.0,8.0,9.6,,,95,200,0.1,2.0,0.08,13.10,6,84,17,220,,,2018,Sutlej
1087,"SUTLEJ AT D/S RAMPUR, H.P.",HIMACHAL PRADESH,9.0,18.0,8.0,9.6,7.2,8.5,56,217,0.2,1.8,0.06,7.07,12,110,33,540,,,2018,Sutlej
1013,"SUTLEJ AT U/S TATAPANI, H.P.",HIMACHAL PRADESH,10.0,20.0,8.0,9.0,7.0,8.6,103,238,0.2,1.6,0.09,1.63,7,94,20,350,,,2018,Sutlej
1014,"SUTLEJ AT U/S SLAPPER, H.P.",HIMACHAL PRADESH,11.0,23.0,9.6,12.1,7.5,8.5,117,317,0.1,0.1,0.00,0.68,12,27,120,240,,,2018,Sutlej
1015,"SUTLEJ AT D/S SLAPPER, H.P.",HIMACHAL PRADESH,12.0,23.0,9.8,11.9,7.9,8.4,114,315,0.1,0.2,0.00,0.61,0,38,1,350,,,2018,Sutlej
1016,"SUTLEJ AT D/S BHAKHRA, H.P.",HIMACHAL PRADESH,3.0,19.0,6.4,8.6,7.2,8.1,190,265,0.1,0.4,0.33,1.41,2,6,70,350,,,2018,Sutlej
1017,"SUTLEJ AT 100M U/S OF HEADWORKS, NANGAL, PUNJAB",PUNJAB,16.0,25.0,7.9,8.7,7.4,8.1,215,298,0.2,1.0,0.40,0.60,30,110,170,320,,,2018,Sutlej
1018,"SUTLEJ AT 100M D/S , NANGAL, PUNJAB",PUNJAB,16.0,23.0,7.6,8.5,7.3,8.0,232,312,1.0,1.0,0.40,0.80,43,180,150,490,,,2018,Sutlej
1293,"SUTLEJ AT 1 KM. D/S OF ZENITH, PUNJAB",PUNJAB,15.0,26.0,7.0,8.7,7.1,8.2,287,460,1.0,1.6,0.40,1.00,200,1100,630,2100,,,2018,Sutlej
1814,"SUTLEJ AT D/S KIRATPUR SAHIB, PUNJAB",PUNJAB,16.0,25.0,7.4,8.4,7.7,8.2,246,403,1.0,1.0,0.40,1.20,140,680,490,1200,,,2018,Sutlej
1019,"SUTLEJ AT U/S HEAD WORKS ROPAR, PUNJAB",PUNJAB,15.0,24.0,7.6,8.8,7.1,8.2,253,373,1.0,1.0,0.20,0.80,170,680,550,1400,,,2018,Sutlej
1380,"SUTLEJ AT D/S NFL, PUNJAB",PUNJAB,17.0,30.0,7.4,8.4,7.5,8.2,264,351,1.0,1.0,0.40,2.65,46,170,210,480,,,2018,Sutlej
1690,"U/S BUDHA NALLAH (UPPER), PUNJAB",PUNJAB,16.0,30.0,6.2,7.2,7.1,8.2,317,548,1.0,4.0,0.60,1.40,400,2100,1500,3900,,,2018,Sutlej
