year,code,station,state,section_title,waterbody,temp_min,temp_max,do_min,do_max,ph_min,ph_max,cond_min,cond_max,bod_min,bod_max,nitrate_min,nitrate_max,fecal_min,fecal_max,total_coli_min,total_coli_max
2017,1867,"SATLUJ RIVER B/C WITH RIVER SPITI AT KHAB, DISTT.KINNAUR",HIMACHAL PRADESH,Sutlej,B/C WITH RIVER SPITI,9,12,9.7,10.1,6.8,8,92,366,0.1,0.2,0.2,0.2,2,2,20,20
2017,2611,SATLUJ AT KHAB,HIMACHAL PRADESH,Sutlej,SATLUJ,9,12,9.7,10.1,6.7,7.9,84,327,0.1,0.5,0.2,0.5,2,2,20,20
2017,1389,SATLUJ AT NEPTHA ZAKHAI,HIMACHAL PRADESH,Sutlej,SATLUJ,12,17,9.1,9.6,6.8,8.1,92,330,0.1,0.5,0.2,0.4,2,2,20,20
2017,1086,SATLUJ AT U/S RAMPUR,HIMACHAL PRADESH,Sutlej,SATLUJ,14,17,8.8,9.8,6.96,7.99,107,309,0.1,0.4,0.2,0.34,2,2,21,21
2017,1087,SATLUJ AT D/S RAMPUR,HIMACHAL PRADESH,Sutlej,SATLUJ,14,17,8.7,9.2,6.91,8.04,102,298,0.1,0.2,0.2,0.513,2,2,25,25
2017,1013,SATLUJ AT U/S TATAPANI,HIMACHAL PRADESH,Sutlej,SATLUJ,15,19,8.6,8.9,6.88,7.91,106,311,0.1,2,0.2,0.365,2,2,25,25
2017,1014,SATLUJ AT U/S SLAPPER,HIMACHAL PRADESH,Sutlej,SATLUJ,10,24,8,9.7,7.56,8.11,134,329,0.1,0.1,0.2,0.862,13,23,110,180
2017,1015,SATLUJ AT D/S SLAPPER,HIMACHAL PRADESH,Sutlej,SATLUJ,10,20,6.7,9.8,7.75,8.16,123,310,0.1,0.2,0.2,0.931,21,43,130,350
2017,1016,SATLUJ AT D/S BHAKHRA,HIMACHAL PRADESH,Sutlej,SATLUJ,5,20,6.5,7.8,6.95,8.47,232,340,0.1,1.2,0.02,0.54,6,21,210,430
2017,1017,"SATLUJ AT 100M U/S OF HEADWORKS, NANGAL",PUNJAB,Sutlej,SATLUJ,16,24,7.8,8.2,7.53,8.1,206,292,,,0.2,0.6,93,220,240,450
2017,1293,"SATLUJ AT 1 KM. D/S OF ZENITH, PUNJAB",PUNJAB,Sutlej,SATLUJ,15,27,7,7.8,7.2,8,258,372,2,2,0.4,1,200,830,610,1500
2017,1814,"SATLUJ AT D/S KIRATPUR SAHIB, PUNJAB",PUNJAB,Sutlej,SATLUJ,16,25,7.3,7.9,7.4,8.2,205,402,,,0.4,1.8,200,1400,610,2400
2017,1018,"SATLUJ AT 100M D/S , NANGAL",PUNJAB,Sutlej,SATLUJ,16,26,7.5,7.9,7.66,8.2,244,314,1,1,0.4,0.8,170,400,310,610
2017,1019,SATLUJ AT U/S HEAD WORKS ROPAR,PUNJAB,Sutlej,SATLUJ,16,24,7.4,7.9,7.35,8.29,224,360,,,0.4,1,200,680,680,1400
2017,1380,"SATLUJ AT D/S NFL, PUNJAB",PUNJAB,Sutlej,SATLUJ,17,28,7.4,7.9,7.7,8,254,348,,,0.4,1.2,130,600,340,810
2017,1690,"SATLUJ AT U/S BUDHA NALLAH (UPPER), PUNJAB",PUNJAB,Sutlej,SATLUJ,17,34,5.6,7.5,7.2,7.7,362,565,1,2,0.6,1,400,1700,930,3800
2017,1020,"SATLUJ AT 100M D/S BUDHA NALA CONFL., LUDHIANA",PUNJAB,Sutlej,SATLUJ,16,35,2,5.1,7.17,7.59,732,1733,30,108,1.6,14,17000,210000,31000,380000
2017,1021,"SATLUJ AT BOAT BDG. DHARMKOTNAKODAR ROAD, JALANDHAR",PUNJAB,Sutlej,SATLUJ,16,32,3.4,6.5,7.25,8.2,385,1180,5,37,1,3,13000,63000,27000,110000
2017,1381,"SATLUJ AT D/S EAST BASIN, PUNJAB",PUNJAB,Sutlej,SATLUJ,12,29,1,3.2,7,7.4,390,710,8,22,1.2,2.2,350,2300,940,4600
2017,1691,"SATLUJ AT U/S HUSSANIWALA H/W FEROZEPUR, PUNJAB",PUNJAB,Sutlej,SATLUJ,16,30,7,8,7.4,8.2,238,396,0.2,2,0.4,0.8,370,920,610,2200
2017,1692,"SATLUJ AT D/S HUSSANIWALAH/W FEROZEPUR, PUNJAB",PUNJAB,Sutlej,SATLUJ,16,31,6.9,7.8,7.3,8,260,420,0.3,2,0.6,1,400,1100,680,2200
2017,1022,"SATLUJ AT BRIDGE HARIKE, AMRITSAR",PUNJAB,Sutlej,SATLUJ,11,30,4,6.4,6.9,7.3,260,413,2,4.1,1,2.8,210,940,580,1700
2017,2915,"SATLUJ AT 100 MT. D/S OF PACL, NANGAL, PUNJAB",PUNJAB,Sutlej,SATLUJ,17,30,7.4,7.8,7.7,8.4,258,415,0.5,1,0.6,1.4,170,680,390,910
2017,3869,SATLUJ RIVER D/S TRT OF RAMPUR HYDEL ELECTRIC PROJECT,PUNJAB,Sutlej,RIVER,14,17,8.7,9.1,7.3,8.1,96,309,0.1,0.5,0.3,0.5,0,0,0,0
2017,3871,RIVER SATLUJ D/S POWER HOUSE KASHANG HEP,PUNJAB,Sutlej,SATLUJ,11,14,8.9,9.4,7.4,7.9,99,332,0.1,0.6,0.2,0.5,2,2,24,24
2017,3872,SATLUJ RIVER D/S TIDONG HEP,PUNJAB,Sutlej,RIVER,9.4,14,8.8,9.5,7.6,7.9,152,269,0.1,0.2,0.1,0.5,4,4,150,150
2017,10020,RIVER SATLUJ AT ANANDPUR SAHIB,PUNJAB,Sutlej,SATLUJ,16,27,7.5,8,7.5,8.4,242,345,0.5,0.5,0.2,0.8,180,780,400,1700
2017,10021,RIVER SATLUJ AT BUNGA SAHIB,PUNJAB,Sutlej,SATLUJ,16,24,7,7.9,7.5,8,209,442,2,2,0.2,0.8,200,1700,780,3900
2017,10022,RIVER SATLUJ AT PHILLAUR U/S,PUNJAB,Beas,SATLUJ,15,32,4.8,7,7,7.6,240,610,1,3.8,0.1,0.2,70,220,110,460
