code,station,state,temp_min,temp_max,do_min,do_max,ph_min,ph_max,cond_min,cond_max,bod_min,bod_max,nitrate_min,nitrate_max,fecal_min,fecal_max,total_coli_min,total_coli_max,fecal_strep_min,fecal_strep_max,year,section_title
1696,"RIVER BEAS U/S GOINDWAL, PUNJAB",PUNJAB,15.0,29.0,7.1,9.3,7.7,8.3,166,248,1.0,1.3,0.32,1.00,63,130,220,470,-,-,2021,Beas
1697,"RIVER BEAS AT HARIKE, PUNJAB",PUNJAB,15.0,29.0,7.2,9.5,7.7,8.0,184,245,1.0,1.4,0.50,1.10,78,260,330,490,-,-,2021,Beas
1011,RIVER BEAS AT G.T. ROAD UNDER BDG. NEAR KAPURTHALA,PUNJAB,15.0,34.0,6.6,9.1,7.3,8.1,185,254,1.0,1.7,0.60,1.20,70,210,280,840,-,-,2021,Beas
1012,RIVER BEAS AT 100M D/S INDUST. DISCH. GOINDWAL,PUNJAB,15.0,29.0,7.0,9.2,7.7,8.2,169,274,1.0,1.4,0.40,1.10,70,170,280,490,-,-,2021,Beas
4164,"RIVER BEAS RIVER, NR VILL KIRI AFGHANA, TEHSIL BATALA, GURDASPUR",PUNJAB,18.0,33.0,6.9,9.0,7.6,8.2,189,1922,1.0,1.5,0.50,1.90,68,200,260,470,-,-,2021,Beas
1867,"RIVER SUTLEJ RIVER B/C WITH RIVER SPITI AT KHAB, DISTT.KINNAUR",HIMACHAL PRADESH,10.0,10.0,9.3,9.3,7.6,7.6,3538,3538,1.0,1.0,0.32,0.32,2,2,1600,1600,2,2,2021,Sutlej
2611,RIVER SUTLEJ AT KHAB,HIMACHAL PRADESH,10.0,10.0,9.1,9.1,7.9,7.9,3637,3637,1.0,1.0,0.32,0.32,7,7,1600,1600,2,2,2021,Sutlej
3872,RIVER SUTLEJ D/S TIDONG HEP,HIMACHAL PRADESH,6.0,13.0,8.8,9.3,7.5,8.4,1107,5072,1.0,1.4,0.32,1.42,2,1600,79,1600,2,4,2021,Sutlej
4448,RIVER SUTLEJ U/S CONFLUENCES OF RIVER TIDONG,HIMACHAL PRADESH,6.0,13.5,8.8,9.2,7.6,8.4,1166,5078,1.0,1.0,0.32,0.55,2,1600,46,1600,2,4,2021,Sutlej
4449,RIVER SUTLEJ D/S CONFLUENCES OF RIVER TIDONG,HIMACHAL PRADESH,6.5,13.0,8.9,9.3,7.7,8.4,1164,5087,1.0,1.0,0.32,1.41,2,240,70,1600,2,4,2021,Sutlej
4452,RIVER SUTLEJ U/S CONFLUENCES OF RIVER BASPA,HIMACHAL PRADESH,7.0,13.5,8.7,9.3,7.6,8.3,1108,4635,1.0,1.0,0.32,1.22,2,1600,70,1600,2,2,2021,Sutlej
3871,RIVER SUTLEJ D/S POWER HOUSE KASHANG HEP,HIMACHAL PRADESH,6.5,13.0,8.7,9.1,7.5,8.4,1111,5046,1.0,1.0,0.32,1.22,2,240,70,1600,2,2,2021,Sutlej
3870,RIVER SUTLEJ AT KARCHAM DRAIN,HIMACHAL PRADESH,7.0,13.5,8.7,9.3,7.5,8.4,1159,4836,1.0,1.0,0.32,1.32,2,79,110,1600,2,2,2021,Sutlej
1389,RIVER SUTLEJ AT NEPTHA ZAKHAI,HIMACHAL PRADESH,7.0,13.0,8.7,9.2,7.6,8.4,1124,4518,1.0,1.0,0.32,1.82,2,1600,130,1600,2,7,2021,Sutlej
4453,RIVER SUTLEJ D/S CONFLUENCES OF RIVER BASPA,HIMACHAL PRADESH,7.0,13.5,8.7,9.2,7.4,8.3,1143,4559,1.0,1.0,0.32,1.22,2,110,130,1600,2,2,2021,Sutlej
3869,RIVER SUTLEJ D/S TRT OF RAMPUR HYDEL ELECTRIC PROJECT,HIMACHAL PRADESH,8.0,14.9,8.5,9.1,7.2,8.3,257,2602,1.0,1.0,0.32,2.32,5,1600,350,1600,2,7,2021,Sutlej
1086,RIVER SUTLEJ AT U/S RAMPUR,HIMACHAL PRADESH,8.0,14.5,8.6,9.1,7.5,8.5,1086,3840,1.0,1.0,0.32,1.32,8,1600,540,1600,2,94,2021,Sutlej
1087,RIVER SUTLEJ AT D/S RAMPUR,HIMACHAL PRADESH,8.0,14.5,8.6,9.1,7.0,8.2,1020,2681,1.0,1.2,0.32,1.92,9,1600,1600,1600,2,220,2021,Sutlej
1013,RIVER SUTLEJ AT U/S TATAPANI,HIMACHAL PRADESH,8.5,15.0,8.5,9.0,7.3,8.2,1229,3096,1.0,1.0,0.32,1.34,2,350,920,1600,2,12,2021,Sutlej
4446,RIVER SUTLEJ U/S IANDFILL SITE RAMPUR,HIMACHAL PRADESH,8.0,14.5,8.6,9.4,7.5,8.5,1149,3721,1.0,1.0,0.32,1.92,7,1600,350,1600,2,94,2021,Sutlej
4447,RIVER STLUJ D/S LANDFILL SITE RAMPUR,HIMACHAL PRADESH,8.0,14.5,8.4,9.4,7.2,8.4,168,2735,1.0,1.0,0.32,1.92,9,1600,1600,1600,2,110,2021,Sutlej
4032,RIVER SUTLEJ U/S KHAIRIAN SOLID WASTE DUMPING SITE BILASPUR,HIMACHAL PRADESH,14.0,23.0,8.3,9.8,7.1,8.3,173,308,1.0,1.0,0.32,1.78,43,210,140,1600,2,2,2021,Sutlej
4033,RIVER SUTLEJ D/S KHAIRIAN SOLID WASTE DUMPING SITE BILASPUR,HIMACHAL PRADESH,14.0,23.0,8.2,9.7,7.1,8.2,178,284,1.0,1.0,0.32,1.42,46,540,150,1600,2,2,2021,Sutlej
4450,RIVER SUTLEJ U/S CONFLUENCE WITH GANVI KHAND,HIMACHAL PRADESH,7.5,14.0,8.9,9.5,7.4,8.3,960,3837,1.0,1.0,0.32,2.12,2,1600,49,1600,2,2,2021,Sutlej
4451,RIVER SUTLEJ D/S CONFLUENCE WITH GANVI KHAD,HIMACHAL PRADESH,7.5,14.0,8.9,9.5,7.1,8.2,978,3829,1.0,1.0,0.32,2.52,5,1600,220,1600,2,5,2021,Sutlej
30009,RIVER SUTLEJ AT NANGAL (H.P.),HIMACHAL PRADESH,14.0,25.0,9.0,9.6,7.1,7.7,207,293,1.0,2.0,0.32,0.72,110,20000,490,110000,8,330,2021,Sutlej
1014,RIVER SUTLEJ AT U/S SLAPPER,HIMACHAL PRADESH,13.0,21.0,8.2,9.7,7.3,8.1,110,287,1.0,1.0,0.32,0.77,31,79,170,350,2,2,2021,Sutlej
1015,RIVER SUTLEJ AT D/S SLAPPER,HIMACHAL PRADESH,13.0,21.0,8.5,9.6,7.2,8.0,111,262,1.0,1.0,0.32,1.12,49,140,210,540,2,2,2021,Sutlej
1016,RIVER SUTLEJ AT D/S BHAKHRA,HIMACHAL PRADESH,10.4,26.0,8.2,9.4,7.0,7.9,185,261,1.0,1.0,0.30,5.10,2,2,22,63,2,2,2021,Sutlej
30010,RIVER SUTLEJ AT NOORPUR BEDI ROAD (PUNJAB),PUNJAB,15.0,26.0,8.9,10.2,7.1,7.7,218,299,1.0,2.0,0.32,0.72,93,54000,1400,160000,11,540,2021,Sutlej
1814,"RIVER SUTLEJ AT D/S KIRATPUR SAHIB, PUNJAB",PUNJAB,12.0,22.0,7.3,10.1,7.5,8.6,198,281,1.0,1.0,1.20,1.80,45,330,310,940,-,-,2021,Sutlej
2915,"RIVER SUTLEJ AT 100 MT. D/S OF PACL, NANGAL, PUNJAB",PUNJAB,14.0,19.0,8.5,10.6,7.3,9.1,203,273,1.0,1.0,1.30,1.70,18,260,93,470,-,-,2021,Sutlej
