year,code,station,state,section_title,pH,conductivity_uScm,BOD_mg_L,DO_mg_L,nitrate_mg_L,waterbody,date
2016,2915,"SATLUJ, 100 MT. D/S OF PACL, NANGAL",PUNJAB,Satluj,7.75,124.0,,,,Satluj,2016-06-30
2016,1022,"SATLUJ AT BRIDGE HARIKE, AMRITSAR",PUNJAB,Satluj,6.3,134.8,197.7,,2.4,SATLUJ,2016-06-30
2016,1088,RAVI U/S MADHOPUR,HIMACHAL PRADESH,Satluj,7.7,201.5,0.45,7.449999999999999,0.15,RAVI,2016-06-30
2016,1089,RAVI U/S CHAMBA,HIMACHAL PRADESH,Satluj,7.6,170.0,0.7999999999999999,8.649999999999999,0.1,RAVI,2016-06-30
2016,2614,RAVI AT CHAMERA RESERVOIR,HIMACHAL PRADESH,Satluj,7.699999999999999,441.5,0.35,8.600000000000001,0.1,RAVI,2016-06-30
2016,2615,RAVI D/S CHAMERA III HEP,HIMACHAL PRADESH,Satluj,7.699999999999999,173.5,0.35,8.600000000000001,0.1,RAVI,2016-06-30
2016,2613,RAVID/S OF CHAMBA TOWN,HIMACHAL PRADESH,Satluj,7.550000000000001,182.5,0.9500000000000001,8.65,0.1,Satluj,2016-06-30
2016,1097,"RAVI U/S OF MADHOPUR H/W, GURDASPUR",PUNJAB,Satluj,7.6,190.0,0.65,7.55,0.5,RAVI,2016-06-30
2016,1290,PARVATI B/C TO BEAS,HIMACHAL PRADESH,Satluj,7.6,458.0,0.1,8.95,0.35,Satluj,2016-06-30
2016,2605,PARVATI U/S MANIKARAN,HIMACHAL PRADESH,Satluj,7.4,84.5,0.1,9.2,0.6,PARVATI,2016-06-30
2016,2606,PARVATI D/S MANIKARAN,HIMACHAL PRADESH,Satluj,7.5,92.0,0.1,9.15,0.35,PARVATI,2016-06-30
2016,1090,LARGI AT D/S MANDI,HIMACHAL PRADESH,Satluj,6.25,193.5,0.1,8.7,0.5,LARGI,2016-06-30
2016,1551,"SIRSA , U/S SITOMAJRI NALLAHGARH",HIMACHAL PRADESH,Satluj,7.7,636.0,1.7,7.199999999999999,9.5,Satluj,2016-06-30
2016,1552,"SIRSA , D/S NALAGARH BRIDGE",HIMACHAL PRADESH,Satluj,8.05,1248.5,2.15,6.3,8.5,Satluj,2016-06-30
2016,1868,SIRSA D/S NALAGARH DISTT. SOLAN,HIMACHAL PRADESH,Satluj,7.949999999999999,1155.5,4.3,6.550000000000001,2.85,SIRSA,2016-06-30
2016,1869,SWAN D/S NANGAL DISTT. UNA,HIMACHAL PRADESH,Satluj,7.95,599.5,1.15,5.85,0.45,SWAN,2016-06-30
2016,2616,SIUEL D/S SURGANI,HIMACHAL PRADESH,Satluj,7.75,201.5,0.45,8.7,0.2,SIUEL,2016-06-30
2016,1307,CHUNT KOL (MAULANA AZAD BRIDGE),JAMMU & KASHMIR,Satluj,7.75,281.0,6.1,4.6,0.0,Satluj,2016-06-30
2016,2607,SUKETI KHAD D/S MANDI,HIMACHAL PRADESH,Satluj,7.6,334.5,0.25,9.2,0.45,KHAD,2016-06-30
2016,2608,BINWA D/S PAPROLA/BAIJNATH,HIMACHAL PRADESH,Satluj,7.4,154.1,0.5,7.85,0.1,BINWA,2016-06-30
2016,2609,NEUGAL D/S THURAL,HIMACHAL PRADESH,Satluj,7.8,212.8,0.65,8.2,0.15,NEUGAL,2016-06-30
2016,2610,SPITI AT KHAB,HIMACHAL PRADESH,Satluj,7.35,291.5,0.1,9.65,0.35,SPITI,2016-06-30
2016,2612,BASPA U/S RESERVOIR BASPA PROJECT,HIMACHAL PRADESH,Satluj,7.5,282.0,0.1,9.3,0.5,BASPA,2016-06-30
2016,1306,"GAWKADAL, SRG (SHERGHARI, SRG)",JAMMU & KASHMIR,Satluj,7.55,352.0,5.75,6.95,0.0,Satluj,2016-06-30
2016,1304,JHELAM D/S ANANTNAG,JAMMU & KASHMIR,Satluj,7.8500000000000005,396.5,2.3,7.4,0.0,JHELAM,2016-06-30
2016,1410,"JHELAM AT DALAGATE (INLET), SRINAGAR",JAMMU & KASHMIR,Satluj,7.75,358.0,3.0,6.45,0.0,JHELAM,2016-06-30
2016,1411,JHELAM AT CHATTABAL WEIR (OUTLET),JAMMU & KASHMIR,Satluj,7.75,337.0,3.35,6.85,0.0,JHELAM,2016-06-30
2016,3272,JHELUM AT VERINAG,JAMMU & KASHMIR,Satluj,7.55,250.5,0.6000000000000001,8.0,0.0,JHELUM,2016-06-30
2016,3273,"JHELUM AT SANGAM, CONFLUENCE POINT OF VISHAV NALLAH",JAMMU & KASHMIR,Satluj,7.3,313.5,1.85,7.3,0.0,JHELUM,2016-06-30
2016,3274,JHELUM AT AWANTIPORA,JAMMU & KASHMIR,Satluj,7.5,349.0,2.1500000000000004,8.2,0.0,JHELUM,2016-06-30
2016,3275,JHELUM AT PAMPORE,JAMMU & KASHMIR,Satluj,7.65,351.5,1.95,7.05,0.0,JHELUM,2016-06-30
2016,3276,"JHELUM ATSPORE, CONFLUENCE POINT OF WULAR LAKE",JAMMU & KASHMIR,Satluj,7.45,328.0,2.5,7.85,0.0,Satluj,2016-06-30
2016,3277,JHELUM D/S ATBARAMULLA,JAMMU & KASHMIR,Satluj,7.45,332.0,2.85,7.9,0.0,JHELUM,2016-06-30
2016,3278,LIDDER NALLAH AT LARIPORA,JAMMU & KASHMIR,Satluj,7.6,241.5,0.8,9.399999999999999,0.0,NALLAH,2016-06-30
2016,3279,LIDDER NALLAH AT CLUB PARK,JAMMU & KASHMIR,Satluj,7.85,245.0,0.8,8.2,0.0,NALLAH,2016-06-30
2016,3280,LIDDER NALLAH AT BUS ADDA,JAMMU & KASHMIR,Satluj,7.65,250.0,1.2,8.95,0.0,NALLAH,2016-06-30
2016,3281,"LIDDER NALLAH AT YANEER, D/S OF PHALGUM",JAMMU & KASHMIR,Satluj,7.6,225.5,0.8,7.85,0.0,NALLAH,2016-06-30
2016,3282,"LIDDER NALLAH NERA BUMZOO, ANANTNAG",JAMMU & KASHMIR,Satluj,7.550000000000001,216.0,0.8,9.3,0.0,Satluj,2016-06-30
2016,3283,SINDH U/S SONAMARG,JAMMU & KASHMIR,Satluj,8.0,217.5,0.55,8.45,0.0,SINDH,2016-06-30
2016,3284,SINDH D/S SONAMARG,JAMMU & KASHMIR,Satluj,7.9,215.5,0.6499999999999999,8.399999999999999,0.0,SINDH,2016-06-30
2016,3285,SINDH AT WAIL BRIDGE,JAMMU & KASHMIR,Satluj,7.95,243.0,0.85,9.45,0.0,SINDH,2016-06-30
2016,3286,SINDH AT DUDERHAMA,JAMMU & KASHMIR,Satluj,7.85,286.5,1.5,9.1,0.0,SINDH,2016-06-30
2016,3287,"SINDH AT RANGIL, SRINAGAR",JAMMU & KASHMIR,Satluj,7.8500000000000005,281.5,1.25,9.25,0.0,SINDH,2016-06-30
2016,2755,"BANGANGA (BATHING GHAT), KATRA",JAMMU & KASHMIR,Satluj,8.0,423.0,3.05,6.6,2.5,Satluj,2016-06-30
2016,2756,BANGANGA (IN FRONT OF PONY SHED NEAR REASI BRIDGE ) KATRA,JAMMU & KASHMIR,Satluj,7.949999999999999,413.5,4.05,6.85,3.9499999999999997,SHED,2016-06-30
2016,2752,SAMBA(BELOW NH-1A BRIDGE) BASANTAR US (R.H.S.),JAMMU & KASHMIR,Satluj,8.0,265.0,3.7,7.65,0.2,Satluj,2016-06-30
