year,code,station,state,section_title,pH,conductivity_uScm,BOD_mg_L,DO_mg_L,nitrate_mg_L,waterbody,date
2023,1001,RIVER BEAS AT U/S MANALI,HIMACHAL PRADESH,Beas,,224.0,1.9,8.5,0.735,BEAS,2023-06-30
2023,2601,RIVER BEAS AT D/S MANALI,HIMACHAL PRADESH,Beas,,96.5,1.9,8.3,1.095,BEAS,2023-06-30
2023,4444,RIVER BEAS D/S OF WASTE PROCESSING FACILITY AT MANALI,HIMACHAL PRADESH,Beas,,87.5,1.9,8.3,0.7000000000000001,BEAS,2023-06-30
2023,4037,RIVER BEAS D/S MANALSU NALLAH,HIMACHAL PRADESH,Beas,,94.5,1.0,8.4,1.03,BEAS,2023-06-30
2023,3866,RIVER BEAS U/S BEFORE CONF. OF MANALSU NALLAH,HIMACHAL PRADESH,Beas,,82.0,1.0,8.45,0.645,BEAS,2023-06-30
2023,2602,"RIVER BEAS, U/S KULLU",HIMACHAL PRADESH,Beas,,86.0,1.0,8.149999999999999,0.61,Beas,2023-06-30
2023,4445,RIVER BEAS D/S OF WASTE PROCESSING FACILITY AT KULLU,HIMACHAL PRADESH,Beas,,121.5,1.3,8.0,0.64,BEAS,2023-06-30
2023,1002,RIVER BEAS D/S KULLU,HIMACHAL PRADESH,Beas,,110.5,1.3,7.95,1.4849999999999999,BEAS,2023-06-30
2023,1003,RIVER BEAS D/S AUT,HIMACHAL PRADESH,Beas,,95.0,1.0,7.8,0.545,BEAS,2023-06-30
2023,1004,RIVER BEAS AT PANDOH DAM,HIMACHAL PRADESH,Beas,,135.0,1.0,8.65,0.6900000000000001,BEAS,2023-06-30
2023,2603,"RIVER BEAS, D/S PANDOH DAM",HIMACHAL PRADESH,Beas,,131.5,1.0,8.65,0.735,Beas,2023-06-30
2023,1005,RIVER BEAS AT EXIT OF DEHAR POWER HOUSE,HIMACHAL PRADESH,Beas,,188.0,1.0,8.6,0.635,BEAS,2023-06-30
2023,1550,"BEAS RIVER, U/S OF MANDI TOWN",HIMACHAL PRADESH,Beas,,135.0,1.0,8.5,0.65,Beas,2023-06-30
2023,1006,RIVER BEAS D/S MANDI TOWN,HIMACHAL PRADESH,Beas,,137.5,1.0,8.7,2.905,BEAS,2023-06-30
2023,2604,RIVER BEAS AT D/S JAISINGHPUR,HIMACHAL PRADESH,Beas,,238.5,1.0,9.0,3.015,BEAS,2023-06-30
2023,1007,RIVER BEAS AT D/S ALAMPUR,HIMACHAL PRADESH,Beas,,541.5,1.0,8.85,2.5949999999999998,BEAS,2023-06-30
