year,code,station,state,section_title,pH,conductivity_uScm,BOD_mg_L,DO_mg_L,nitrate_mg_L,waterbody,date
2022,1001,RIVER BEAS AT U/S MANALI,HIMACHAL PRADESH,Beas,7.75,238.5,,8.55,0.77,BEAS,2022-06-30
2022,2601,RIVER BEAS AT D/S MANALI,HIMACHAL PRADESH,Beas,7.77,100.5,1.8,8.9,0.91,BEAS,2022-06-30
2022,4444,RIVER BEAS D/S OF WASTE PROCESSING FACILITY AT MANALI,HIMACHAL PRADESH,Beas,7.800000000000001,86.5,1.6,8.649999999999999,1.085,BEAS,2022-06-30
2022,4037,RIVER BEAS D/S MANALSU NALLAH,HIMACHAL PRADESH,Beas,7.76,102.5,,8.8,1.045,BEAS,2022-06-30
2022,3866,RIVER BEAS U/S BEFORE CONF. OF MANALSU NALLAH,HIMACHAL PRADESH,Beas,7.865,177.0,,8.8,1.05,BEAS,2022-06-30
2022,2602,"RIVER BEAS, U/S KULLU",HIMACHAL PRADESH,Beas,7.984999999999999,100.5,,8.35,0.9550000000000001,Beas,2022-06-30
2022,4445,RIVER BEAS D/S OF WASTE PROCESSING FACILITY AT KULLU,HIMACHAL PRADESH,Beas,8.005,181.0,1.1,8.75,1.01,BEAS,2022-06-30
2022,1002,RIVER BEAS D/S KULLU,HIMACHAL PRADESH,Beas,7.95,106.0,1.4,9.0,1.155,BEAS,2022-06-30
2022,1003,RIVER BEAS D/S AUT,HIMACHAL PRADESH,Beas,7.895,90.5,,7.85,1.39,BEAS,2022-06-30
2022,2603,"RIVER BEAS, D/S PANDOH DAM",HIMACHAL PRADESH,Beas,8.08,129.0,,8.9,1.085,Beas,2022-06-30
2022,1005,RIVER BEAS AT EXIT OF DEHAR POWER HOUSE,HIMACHAL PRADESH,Beas,7.745,210.0,,9.149999999999999,0.81,BEAS,2022-06-30
2022,1550,"BEAS RIVER, U/S OF MANDI TOWN",HIMACHAL PRADESH,Beas,8.08,140.0,,8.75,0.915,Beas,2022-06-30
2022,1006,RIVER BEAS D/S MANDI TOWN,HIMACHAL PRADESH,Beas,8.035,226.0,1.1,8.35,0.98,BEAS,2022-06-30
2022,2604,RIVER BEAS AT D/S JAISINGHPUR,HIMACHAL PRADESH,Beas,7.765000000000001,247.0,,8.45,,BEAS,2022-06-30
2022,1007,RIVER BEAS AT D/S ALAMPUR,HIMACHAL PRADESH,Beas,7.819999999999999,237.0,,8.75,,BEAS,2022-06-30
2022,3855,"RIVER BEAS D/S NADAUN BRIDGE, VILL BHADOLI",HIMACHAL PRADESH,Beas,7.765000000000001,314.0,2.0,8.1,,BEAS,2022-06-30
2022,1009,RIVER BEAS AT D/S PONG DAM,HIMACHAL PRADESH,Beas,7.625,193.5,,7.0,,BEAS,2022-06-30
2022,1008,RIVER BEAS AT D/S DEHRAGOPIPUR,HIMACHAL PRADESH,Beas,7.779999999999999,276.0,,8.1,,BEAS,2022-06-30
2022,4435,RIVER BEAS U/S SUJANPUR TIHRA,HIMACHAL PRADESH,Beas,7.805,275.5,,8.45,,BEAS,2022-06-30
2022,4436,RIVER BEAS D/S SUJANPUR TIHRA,HIMACHAL PRADESH,Beas,7.9,290.0,,8.35,,BEAS,2022-06-30
2022,4437,RIVER BEAS U/S NADAUM TOWN,HIMACHAL PRADESH,Beas,7.68,281.0,,8.45,,BEAS,2022-06-30
2022,4438,RIVER BEAS D/S NADAUN TOWN AFTER CONFLUENCE OF MAAN KHAD,HIMACHAL PRADESH,Beas,7.67,295.5,,8.3,,BEAS,2022-06-30
2022,4443,RIVER BEAS AT RAISON,HIMACHAL PRADESH,Beas,7.815,97.0,,8.65,1.0,BEAS,2022-06-30
2022,30083,RIVER BEAS AT TALWARA (PONG DAM),HIMACHAL PRADESH,Beas,8.5,192.0,1.55,9.0,0.42000000000000004,BEAS,2022-06-30
2022,30084,"RIVER BEAS AT D/S CHANGARWA VILLAGE, (PUNJAB)",PUNJAB,Beas,8.15,252.0,1.9,8.95,0.62,BEAS,2022-06-30
2022,1693,"RIVER BEAS AT TALWARA H/W, PUNJAB",PUNJAB,Beas,7.85,193.5,1.15,7.1000000000000005,0.8,BEAS,2022-06-30
2022,1694,"RIVER BEAS AT U/S PATHANKOT, PUNJAB",PUNJAB,Beas,8.05,260.0,1.3,8.45,0.8500000000000001,BEAS,2022-06-30
2022,1010,"RIVER BEAS AT MIRTHAL BRIDGE, GURDASPUR",PUNJAB,Beas,8.0,271.5,1.35,8.2,0.95,BEAS,2022-06-30
2022,1695,"RIVER BEAS D/S PATHANKOT, PUNJAB",PUNJAB,Beas,8.1,253.0,1.25,8.1,0.8,BEAS,2022-06-30
2022,1294,"RIVER BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT MUKERIAN , PUNJAB",PUNJAB,Beas,7.75,254.5,1.35,8.7,1.0,BEAS,2022-06-30
2022,1696,"RIVER BEAS U/S GOINDWAL, PUNJAB",PUNJAB,Beas,8.0,209.0,1.15,8.3,0.85,BEAS,2022-06-30
2022,1697,"RIVER BEAS AT HARIKE, PUNJAB",PUNJAB,Beas,7.8,213.5,1.15,8.4,1.0,BEAS,2022-06-30
2022,1011,RIVER BEAS AT G.T. ROAD UNDER BDG. NEAR KAPURTHALA,PUNJAB,Beas,7.8999999999999995,218.0,1.2000000000000002,8.55,0.95,BEAS,2022-06-30
2022,1012,RIVER BEAS AT 100M D/S INDUST. DISCH. GOINDWAL,PUNJAB,Beas,7.949999999999999,207.0,1.2000000000000002,8.15,0.8999999999999999,BEAS,2022-06-30
2022,4164,"RIVER BEAS RIVER, NR VILL KIRI AFGHANA, TEHSIL BATALA, GURDASPUR",PUNJAB,Beas,7.8,244.5,1.2000000000000002,8.3,1.15,Beas,2022-06-30
2022,1867,RIVER SUTLEJ BEFORE CONF. WITH RIVER SPITI AT KHAB,HIMACHAL PRADESH,Sutlej,8.219999999999999,377.5,,9.15,0.46499999999999997,SPITI,2022-06-30
2022,2611,RIVER SUTLEJ AFTER CONF. WITH RIVER SPIT AT KHAB,HIMACHAL PRADESH,Sutlej,8.305,363.0,,9.25,0.485,SPIT,2022-06-30
2022,3872,RIVER SUTLEJ D/S TIDONG HEP,HIMACHAL PRADESH,Sutlej,8.33,1213.5,,9.100000000000001,0.45499999999999996,SUTLEJ,2022-06-30
2022,4448,RIVER SUTLEJ BEFORE CONFLUENCES WITH RIVER TIDONG,HIMACHAL PRADESH,Sutlej,8.29,1835.0,,9.15,0.47,Sutlej,2022-06-30
2022,4449,RIVER SUTLEJ AFTER CONFLUENCES WITH RIVER TIDONG,HIMACHAL PRADESH,Sutlej,8.31,2130.5,,9.100000000000001,0.44999999999999996,Sutlej,2022-06-30
2022,4452,RIVER SUTLEJ BEFORE CONFLUENCES OF RIVER BASPA,HIMACHAL PRADESH,Sutlej,8.305,1403.0,,9.149999999999999,0.485,Sutlej,2022-06-30
2022,3871,RIVER SUTLEJ D/S POWER HOUSE KASHANG HEP,HIMACHAL PRADESH,Sutlej,8.27,1725.0,,9.05,0.45999999999999996,SUTLEJ,2022-06-30
2022,3870,RIVER SUTLEJ AFTER CONF. OF RIVER BASPA AT KARCHAM DAM,HIMACHAL PRADESH,Sutlej,8.175,1350.5,,9.0,,BASPA,2022-06-30
2022,1389,RIVER SUTLEJ AT WANGTOO BRIDGE,HIMACHAL PRADESH,Sutlej,7.64,1400.5,,9.0,1.43,SUTLEJ,2022-06-30
2022,4453,RIVER SUTLEJ AFTER CONFLUENCES OF RIVER BASPA,HIMACHAL PRADESH,Sutlej,7.58,996.5,,9.05,0.8,Sutlej,2022-06-30
2022,3869,RIVER SUTLEJ D/S TRT OF RAMPUR HYDEL ELECTRIC PROJECT,HIMACHAL PRADESH,Sutlej,7.84,1302.0,,8.85,0.73,SUTLEJ,2022-06-30
2022,1086,RIVER SUTLEJ AT U/S RAMPUR,HIMACHAL PRADESH,Sutlej,7.615,624.0,,8.85,1.03,SUTLEJ,2022-06-30
2022,1087,RIVER SUTLEJ AT D/S RAMPUR,HIMACHAL PRADESH,Sutlej,7.62,672.0,,8.95,0.595,SUTLEJ,2022-06-30
2022,1013,RIVER SUTLEJ AT U/S TATAPANI,HIMACHAL PRADESH,Sutlej,7.9350000000000005,1344.0,,8.8,0.735,SUTLEJ,2022-06-30
2022,4446,RIVER SUTLEJ U/S IANDFILL SITE RAMPUR,HIMACHAL PRADESH,Sutlej,7.595,619.0,,8.85,2.33,SUTLEJ,2022-06-30
2022,4447,RIVER SUTLEJ D/S LANDFILL SITE RAMPUR,HIMACHAL PRADESH,Sutlej,7.585000000000001,1288.0,,8.85,0.57,SUTLEJ,2022-06-30
2022,4032,RIVER SUTLEJ D/S ACC BARMANA,HIMACHAL PRADESH,Sutlej,7.970000000000001,301.0,,9.25,2.1550000000000002,SUTLEJ,2022-06-30
2022,4033,RIVER SUTLEJ NEAR LUHNOO GROUND,HIMACHAL PRADESH,Sutlej,7.950000000000001,314.0,1.4,9.05,1.355,SUTLEJ,2022-06-30
2022,4450,RIVER SUTLEJ BEFORE CONFLUENCE WITH GANVI KHAND,HIMACHAL PRADESH,Sutlej,7.695,629.5,,9.05,1.565,Sutlej,2022-06-30
2022,4451,RIVER SUTLEJ AFTER CONFLUENCE WITH GANVI KHAD,HIMACHAL PRADESH,Sutlej,7.61,672.0,,9.05,1.73,Sutlej,2022-06-30
2022,30009,RIVER SUTLEJ AT NANGAL (H.P.),HIMACHAL PRADESH,Sutlej,8.1,244.5,2.7,8.75,0.9199999999999999,SUTLEJ,2022-06-30
2022,1014,RIVER SUTLEJ U/S OF EXIT POINT OF DEHAR POWER HOUSE,HIMACHAL PRADESH,Sutlej,8.115,205.5,1.2,9.35,0.86,SUTLEJ,2022-06-30
2022,1015,RIVER SUTLEJ D/S OF EXIT POINT OF DEHAR POWER HOUSE,HIMACHAL PRADESH,Sutlej,8.1,218.5,,9.25,1.2049999999999998,SUTLEJ,2022-06-30
2022,1016,RIVER SUTLEJ D/S BHAKHRA,HIMACHAL PRADESH,Sutlej,7.359999999999999,248.5,,8.9,,SUTLEJ,2022-06-30
2022,30087,"RIVER SUTLEJ U/S AT OLINDA, NEAR BHAKRA DAM, H.P.",HIMACHAL PRADESH,Sutlej,8.15,233.5,3.0,9.6,0.37,SUTLEJ,2022-06-30
2022,30088,"RIVER SUTLEJ D/S OLINDA, NEAR BHAKRA DAM, H.P.",HIMACHAL PRADESH,Sutlej,8.2,229.5,1.4,9.25,0.37,SUTLEJ,2022-06-30
2022,30010,RIVER SUTLEJ AT NOORPUR BEDI ROAD (PUNJAB),PUNJAB,Sutlej,7.85,255.0,,8.899999999999999,0.67,SUTLEJ,2022-06-30
2022,1814,"RIVER SUTLEJ AT D/S KIRATPUR SAHIB, PUNJAB",PUNJAB,Sutlej,8.05,267.5,,9.3,1.5,SUTLEJ,2022-06-30
2022,2915,"RIVER SUTLEJ AT 100 MT. D/S OF PACL, NANGAL, PUNJAB",PUNJAB,Sutlej,7.85,244.0,,9.5,1.5,SUTLEJ,2022-06-30
2022,1380,"RIVER SUTLEJ AT D/S NFL, PUNJAB",PUNJAB,Sutlej,7.95,243.5,,9.600000000000001,1.5499999999999998,SUTLEJ,2022-06-30
2022,10020,RIVER SUTLEJ AT ANANDPUR SAHIB,PUNJAB,Sutlej,7.95,311.5,,8.9,1.7000000000000002,SUTLEJ,2022-06-30
2022,10021,RIVER SUTLEJ AT BUNGA SAHIB,PUNJAB,Sutlej,7.9,247.0,,9.55,1.5,SUTLEJ,2022-06-30
2022,10022,RIVER SUTLEJ AT PHILLAUR U/S,PUNJAB,Sutlej,7.75,380.0,2.8,6.8,,SUTLEJ,2022-06-30
2022,10023,RIVER SUTLEJ AT PHAGWARA U/S (CHAHERU BRIDGE),PUNJAB,Sutlej,7.75,734.0,12.5,4.35,1.25,SUTLEJ,2022-06-30
2022,10024,RIVER SUTLEJ AT PHAGWARA D/S (KANGANIWAL BRIDGE),PUNJAB,Sutlej,7.75,919.5,18.5,1.2,1.4,SUTLEJ,2022-06-30
2022,10027,RIVER SUTLEJ AT LUDHIANA U/S,PUNJAB,Sutlej,8.15,297.0,1.2,8.149999999999999,1.85,SUTLEJ,2022-06-30
2022,10028,RIVER SUTLEJ AT LUDHIANA D/S,PUNJAB,Sutlej,7.6,722.0,20.3,4.0,2.25,SUTLEJ,2022-06-30
2022,1017,"RIVER SUTLEJ AT 100M U/S OF HEADWORKS, NANGAL",PUNJAB,Sutlej,7.949999999999999,220.5,,8.15,1.5,SUTLEJ,2022-06-30
2022,1018,"RIVER SUTLEJ AT 100M D/S , NANGAL",PUNJAB,Sutlej,8.0,264.0,,9.05,1.45,SUTLEJ,2022-06-30
2022,1293,"RIVER SUTLEJ AT 1 KM. D/S OF ZENITH, PUNJAB",PUNJAB,Sutlej,7.95,353.5,,8.35,1.5,SUTLEJ,2022-06-30
2022,1019,RIVER SUTLEJ AT U/S HEAD WORKS ROPAR,PUNJAB,Sutlej,7.95,292.5,,8.45,1.6,SUTLEJ,2022-06-30
2022,1690,"RIVER SUTLEJ AT U/S BUDHA NALLAH (UPPER), PUNJAB",PUNJAB,Sutlej,7.8,346.0,1.25,7.1,2.1,SUTLEJ,2022-06-30
2022,1020,"RIVER SUTLEJ AT 100M D/S BUDHA NALA CONFL., LUDHIANA",PUNJAB,Sutlej,7.45,817.0,71.3,3.55,2.5,SUTLEJ,2022-06-30
2022,1022,"RIVER SUTLEJ AT BRIDGE HARIKE, AMRITSAR",PUNJAB,Sutlej,7.85,440.0,2.6,6.199999999999999,1.7999999999999998,SUTLEJ,2022-06-30
2022,10025,RIVER SUTLEJ AT JALANDHAR U/S (PEERU SHAH KA DARGAH),PUNJAB,Sutlej,7.4,1001.0,67.5,0.0,4.1,SUTLEJ,2022-06-30
2022,10026,RIVER SUTLEJ AT JALANDHAR D/S (MALSIAN BRIDGE),PUNJAB,Sutlej,7.5,924.5,68.5,0.0,5.9,SUTLEJ,2022-06-30
2022,1021,"RIVER SUTLEJ AT BOAT BDG. DHARMKOTNAKODAR ROAD, JALANDHAR",PUNJAB,Sutlej,7.8,671.5,35.7,3.7,2.15,SUTLEJ,2022-06-30
2022,1381,"RIVER SUTLEJ AT D/S EAST BEIN, PUNJAB",PUNJAB,Sutlej,7.75,676.0,19.75,3.5999999999999996,2.4,SUTLEJ,2022-06-30
2022,1691,"RIVER SUTLEJ AT U/S HUSSANIWALA - H/W FEROZEPUR, PUNJAB",PUNJAB,Sutlej,7.75,292.5,1.2000000000000002,7.2,1.5499999999999998,SUTLEJ,2022-06-30
2022,1692,"RIVER SUTLEJ AT D/S HUSSANIWALA-H/W FEROZEPUR, PUNJAB",PUNJAB,Sutlej,7.800000000000001,297.0,1.2999999999999998,7.05,1.6,SUTLEJ,2022-06-30
2022,4059,"RIVER RAVI AT RANJIT SAGAR DAM, AT PANAGAR (BASOHIL)",JAMMU & KASHMIR,"Tributary Streams - Ravi, Parvati, Sirsa, Sarsa, Baira Siul, Suketi Khad, Binwa, Neugal Khad, Spiti, Baspa, Banganga, Basanter, Chenab, Devak, Tawi, Ujh, Swan, Tirthan, Pabbar, Ashwani Khad, Manjhi Khad, Mol Khad, Baner Khad, Charan Khand, Dhauli Khad, Shikari Khad, Batta, Kali Bein, Sainj, Markanda, Gaj Khad, Bather Khad, Bald, Ratta, Uhl Suketi Khad, Seer Khad, Bhagga, Chandra, Giri And Koshalya",8.379999999999999,181.0,,7.3,,RAVI,2022-06-30
2022,4060,RIVER RAVI AT DAM-SITE AT THEIN,JAMMU & KASHMIR,"Tributary Streams - Ravi, Parvati, Sirsa, Sarsa, Baira Siul, Suketi Khad, Binwa, Neugal Khad, Spiti, Baspa, Banganga, Basanter, Chenab, Devak, Tawi, Ujh, Swan, Tirthan, Pabbar, Ashwani Khad, Manjhi Khad, Mol Khad, Baner Khad, Charan Khand, Dhauli Khad, Shikari Khad, Batta, Kali Bein, Sainj, Markanda, Gaj Khad, Bather Khad, Bald, Ratta, Uhl Suketi Khad, Seer Khad, Bhagga, Chandra, Giri And Koshalya",8.1,168.0,,7.4,,RAVI,2022-06-30
