year,code,station,state,section_title,pH,conductivity_uScm,BOD_mg_L,DO_mg_L,nitrate_mg_L,waterbody,date
2017,1867,"SATLUJ RIVER B/C WITH RIVER SPITI AT KHAB, DISTT.KINNAUR",HIMACHAL PRADESH,Sutlej,7.4,229.0,0.15000000000000002,9.899999999999999,0.2,B/C WITH RIVER SPITI,2017-06-30
2017,2611,SATLUJ AT KHAB,HIMACHAL PRADESH,Sutlej,7.300000000000001,205.5,0.3,9.899999999999999,0.35,SATLUJ,2017-06-30
2017,1389,SATLUJ AT NEPTHA ZAKHAI,HIMACHAL PRADESH,Sutlej,7.449999999999999,211.0,0.3,9.35,0.30000000000000004,SATLUJ,2017-06-30
2017,1086,SATLUJ AT U/S RAMPUR,HIMACHAL PRADESH,Sutlej,7.475,208.0,0.25,9.3,0.27,SATLUJ,2017-06-30
2017,1087,SATLUJ AT D/S RAMPUR,HIMACHAL PRADESH,Sutlej,7.475,200.0,0.15000000000000002,8.95,0.35650000000000004,SATLUJ,2017-06-30
2017,1013,SATLUJ AT U/S TATAPANI,HIMACHAL PRADESH,Sutlej,7.395,208.5,1.05,8.75,0.2825,SATLUJ,2017-06-30
2017,1014,SATLUJ AT U/S SLAPPER,HIMACHAL PRADESH,Sutlej,7.834999999999999,231.5,0.1,8.85,0.531,SATLUJ,2017-06-30
2017,1015,SATLUJ AT D/S SLAPPER,HIMACHAL PRADESH,Sutlej,7.955,216.5,0.15000000000000002,8.25,0.5655,SATLUJ,2017-06-30
2017,1016,SATLUJ AT D/S BHAKHRA,HIMACHAL PRADESH,Sutlej,7.710000000000001,286.0,0.65,7.15,0.28,SATLUJ,2017-06-30
2017,1017,"SATLUJ AT 100M U/S OF HEADWORKS, NANGAL",PUNJAB,Sutlej,7.8149999999999995,249.0,,8.0,0.4,SATLUJ,2017-06-30
2017,1293,"SATLUJ AT 1 KM. D/S OF ZENITH, PUNJAB",PUNJAB,Sutlej,7.6,315.0,2.0,7.4,0.7,SATLUJ,2017-06-30
2017,1814,"SATLUJ AT D/S KIRATPUR SAHIB, PUNJAB",PUNJAB,Sutlej,7.8,303.5,,7.6,1.1,SATLUJ,2017-06-30
2017,1018,"SATLUJ AT 100M D/S , NANGAL",PUNJAB,Sutlej,7.93,279.0,1.0,7.7,0.6000000000000001,SATLUJ,2017-06-30
2017,1019,SATLUJ AT U/S HEAD WORKS ROPAR,PUNJAB,Sutlej,7.819999999999999,292.0,,7.65,0.7,SATLUJ,2017-06-30
2017,1380,"SATLUJ AT D/S NFL, PUNJAB",PUNJAB,Sutlej,7.85,301.0,,7.65,0.8,SATLUJ,2017-06-30
2017,1690,"SATLUJ AT U/S BUDHA NALLAH (UPPER), PUNJAB",PUNJAB,Sutlej,7.45,463.5,1.5,6.55,0.8,SATLUJ,2017-06-30
2017,1020,"SATLUJ AT 100M D/S BUDHA NALA CONFL., LUDHIANA",PUNJAB,Sutlej,7.38,1232.5,69.0,3.55,7.8,SATLUJ,2017-06-30
2017,1021,"SATLUJ AT BOAT BDG. DHARMKOTNAKODAR ROAD, JALANDHAR",PUNJAB,Sutlej,7.725,782.5,21.0,4.95,2.0,SATLUJ,2017-06-30
2017,1381,"SATLUJ AT D/S EAST BASIN, PUNJAB",PUNJAB,Sutlej,7.2,550.0,15.0,2.1,1.7000000000000002,SATLUJ,2017-06-30
2017,1691,"SATLUJ AT U/S HUSSANIWALA H/W FEROZEPUR, PUNJAB",PUNJAB,Sutlej,7.8,317.0,1.1,7.5,0.6000000000000001,SATLUJ,2017-06-30
2017,1692,"SATLUJ AT D/S HUSSANIWALAH/W FEROZEPUR, PUNJAB",PUNJAB,Sutlej,7.65,340.0,1.15,7.35,0.8,SATLUJ,2017-06-30
2017,1022,"SATLUJ AT BRIDGE HARIKE, AMRITSAR",PUNJAB,Sutlej,7.1,336.5,3.05,5.2,1.9,SATLUJ,2017-06-30
2017,2915,"SATLUJ AT 100 MT. D/S OF PACL, NANGAL, PUNJAB",PUNJAB,Sutlej,8.05,336.5,0.75,7.6,1.0,SATLUJ,2017-06-30
2017,3869,SATLUJ RIVER D/S TRT OF RAMPUR HYDEL ELECTRIC PROJECT,PUNJAB,Sutlej,7.699999999999999,202.5,0.3,8.899999999999999,0.4,RIVER,2017-06-30
2017,3871,RIVER SATLUJ D/S POWER HOUSE KASHANG HEP,PUNJAB,Sutlej,7.65,215.5,0.35,9.15,0.35,SATLUJ,2017-06-30
2017,3872,SATLUJ RIVER D/S TIDONG HEP,PUNJAB,Sutlej,7.75,210.5,0.15000000000000002,9.15,0.3,RIVER,2017-06-30
2017,10020,RIVER SATLUJ AT ANANDPUR SAHIB,PUNJAB,Sutlej,7.95,293.5,0.5,7.75,0.5,SATLUJ,2017-06-30
2017,10021,RIVER SATLUJ AT BUNGA SAHIB,PUNJAB,Sutlej,7.75,325.5,2.0,7.45,0.5,SATLUJ,2017-06-30
2017,10022,RIVER SATLUJ AT PHILLAUR U/S,PUNJAB,Beas,7.3,425.0,2.4,5.9,0.15000000000000002,SATLUJ,2017-06-30
2017,10023,RIVER SATLUJ AT PHAGWARA U/S (CHAHERU BRIDGE),PUNJAB,Beas,7.2,554.5,11.0,2.05,4.2,SATLUJ,2017-06-30
2017,10024,RIVER SATLUJ AT PHAGWARA D/S (KANGANIWAL BRIDGE),PUNJAB,Beas,7.2,1064.0,35.0,0.0,5.0,SATLUJ,2017-06-30
2017,10025,RIVER SATLUJ AT JALANDHAR U/S (PEERU SHAH KA DARGAH),PUNJAB,Beas,7.2,1232.0,37.5,0.0,5.55,SATLUJ,2017-06-30
2017,10026,RIVER SATLUJ AT JALANDHAR D/S (MALSIAN BRIDGE),PUNJAB,Beas,7.15,1360.0,65.0,0.0,6.8999999999999995,SATLUJ,2017-06-30
