year,code,station,state,section_title,pH,conductivity_uScm,BOD_mg_L,DO_mg_L,nitrate_mg_L,waterbody,date
2021,1001,RIVER BEAS AT U/S MANALI,HIMACHAL PRADESH,Beas,7.6,175.0,1.0,8.8,0.51,BEAS,2021-06-30
2021,2601,RIVER BEAS AT D/S MANALI,HIMACHAL PRADESH,Beas,7.449999999999999,93.0,1.0,8.55,0.6,BEAS,2021-06-30
2021,4444,RIVER BEAS D/S OF WPF AT MANALI,HIMACHAL PRADESH,Beas,7.4,68.5,1.0,8.75,0.62,BEAS,2021-06-30
2021,4037,RIVER BEAS D/S MANALSU NALLAH,HIMACHAL PRADESH,Beas,7.4,69.5,1.0,8.85,0.57,BEAS,2021-06-30
2021,3866,RIVER BEAS BEFORE CONFLUENCE TO MANALSU NALLAH,HIMACHAL PRADESH,Beas,7.75,64.5,1.0,8.850000000000001,0.47,Beas,2021-06-30
2021,2602,RIVER BEAS AT U/S KULLU,HIMACHAL PRADESH,Beas,7.699999999999999,97.0,1.0,7.449999999999999,0.77,BEAS,2021-06-30
2021,4445,RIVER BEAS D/S OF WPF AT KULLU,HIMACHAL PRADESH,Beas,7.550000000000001,150.0,1.0,8.3,0.9700000000000001,BEAS,2021-06-30
2021,1002,RIVER BEAS AT D/S KULU,HIMACHAL PRADESH,Beas,7.550000000000001,111.5,1.0,8.2,1.07,BEAS,2021-06-30
2021,1003,RIVER BEAS AT D/S AUT,HIMACHAL PRADESH,Beas,7.5,91.0,1.0,8.15,0.62,BEAS,2021-06-30
2021,1004,RIVER BEAS AT U/S PANDOH DAM,HIMACHAL PRADESH,Beas,7.55,94.0,1.0,8.7,0.7050000000000001,BEAS,2021-06-30
2021,2603,RIVER BEAS AT D/S PANDOH DAM,HIMACHAL PRADESH,Beas,7.45,135.0,1.0,9.25,1.1199999999999999,BEAS,2021-06-30
2021,1005,RIVER BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE,HIMACHAL PRADESH,Beas,7.65,169.5,1.0,8.9,0.62,BEAS,2021-06-30
2021,1550,RIVER BEAS U/S MANDI,HIMACHAL PRADESH,Beas,7.75,125.5,1.0,9.8,1.065,BEAS,2021-06-30
2021,1006,RIVER BEAS AT D/S MANDI,HIMACHAL PRADESH,Beas,7.800000000000001,153.5,1.0,9.45,1.47,BEAS,2021-06-30
2021,2604,RIVER BEAS AT D/S JAISINGHPUR,HIMACHAL PRADESH,Beas,7.75,255.0,1.0,8.95,1.75,BEAS,2021-06-30
2021,1007,RIVER BEAS AT D/S ALAMPUR,HIMACHAL PRADESH,Beas,7.75,244.5,1.0,9.1,1.4,BEAS,2021-06-30
2021,3855,"RIVER BEAS D/S NADAUN BRIDGE, VILL BHADOLI",HIMACHAL PRADESH,Beas,7.75,299.0,1.0,8.45,0.87,BEAS,2021-06-30
2021,1009,RIVER BEAS AT D/S PONG DAM,HIMACHAL PRADESH,Beas,7.5,181.0,1.0,7.3,0.975,BEAS,2021-06-30
2021,1008,RIVER BEAS AT D/S DEHRAGOPIPUR,HIMACHAL PRADESH,Beas,7.6,342.5,1.0,8.25,0.7000000000000001,BEAS,2021-06-30
2021,4435,RIVER BEAS U/S SUJANPUR TIHRA,HIMACHAL PRADESH,Beas,7.55,330.0,1.0,8.8,0.485,BEAS,2021-06-30
2021,4436,RIVER BEAS D/S SUJANPUR TIHRA,HIMACHAL PRADESH,Beas,7.55,346.0,1.0,8.6,0.9500000000000001,BEAS,2021-06-30
2021,4437,RIVER BEAS U/S NADAUM TOWN,HIMACHAL PRADESH,Beas,7.65,214.5,1.0,8.8,0.7000000000000001,BEAS,2021-06-30
2021,4438,RIVER BEAS D/S NADAUN TOWN AFTER CONFLUENCE OF MAAN KHAD,HIMACHAL PRADESH,Beas,7.65,232.0,1.0,8.75,1.42,BEAS,2021-06-30
2021,4443,RIVER BEAS AT RAISON,HIMACHAL PRADESH,Beas,7.65,94.5,1.0,8.4,0.6950000000000001,BEAS,2021-06-30
2021,1693,"RIVER BEAS AT TALWARA H/W, PUNJAB",PUNJAB,Beas,7.9,201.0,1.1,7.6000000000000005,0.7,BEAS,2021-06-30
2021,1694,"RIVER BEAS AT U/S PATHANKOT, PUNJAB",PUNJAB,Beas,7.75,253.0,1.3,7.9,0.8500000000000001,BEAS,2021-06-30
2021,1010,"RIVER BEAS AT MIRTHAL BRIDGE, GURDASPUR",PUNJAB,Beas,8.0,256.5,1.35,8.45,0.75,BEAS,2021-06-30
2021,1695,"RIVER BEAS D/S PATHANKOT, PUNJAB",PUNJAB,Beas,7.85,251.0,1.4,7.449999999999999,0.75,BEAS,2021-06-30
2021,1294,"RIVER BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT MUKERIAN , PUNJAB",PUNJAB,Beas,7.75,262.5,1.4,7.15,1.3,BEAS,2021-06-30
2021,1696,"RIVER BEAS U/S GOINDWAL, PUNJAB",PUNJAB,Beas,8.0,207.0,1.15,8.2,0.66,BEAS,2021-06-30
