year,code,station,state,section_title,pH,conductivity_uScm,BOD_mg_L,DO_mg_L,nitrate_mg_L,waterbody,date,bis_status,bis_reasons,pH_dev,raw_status,raw_reasons
2020,1815,GANGA AT MOKAMA (D/s),BIHAR,Ganga,7.65,303.0,1.7,7.45,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2018,1817,GANGA AT MOKAMA (U/S),BIHAR,Ganga,7.75,296.5,2.05,8.25,0.39,GANGA,2018-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2019,1817,"GANGA AT MOKAMA (U/S), MAHADEO ASTHAN, PATNA",BIHAR,Ganga,8.100000000000001,344.5,1.85,7.75,0.52,GANGA,2019-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,1817,"GANGA AT MOKAMA (U/s), MAHADEO ASTHAN, PATNA",BIHAR,Ganga,8.1,319.5,1.95,7.800000000000001,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,1818,GANGA AT MUNGER,BIHAR,Ganga,7.85,308.0,2.1,7.399999999999999,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2018,1079,GANGA AT PATNA D/S (GANGA BRIDGE),BIHAR,Ganga,7.55,341.5,2.5,9.15,0.365,GANGA,2018-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,1079,"GANGA AT PATNA D/S (GANGA BRIDGE), GAIGHAT",BIHAR,Ganga,7.85,417.5,2.15,7.5,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,2555,"GANGA AT PUNPUN, PATNA",BIHAR,Ganga,7.800000000000001,592.0,3.4,4.4,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNSAFE,DO < 5 mg/L; BOD > 3 mg/L
2020,2554,"GANGA AT SULTANGANJ, BHAGALPUR",BIHAR,Ganga,7.95,296.0,1.95,7.4,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2018,2564,GANGA AT THE CONFLUENCE OF SONE RIVER DORIGANJ,BIHAR,Ganga,7.4,343.0,1.85,8.9,0.3949999999999999,GANGA,2018-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,2564,"GANGA AT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA",BIHAR,Ganga,7.85,276.5,2.25,7.75,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2018,3118,GANGA AT U/S BHAGALPUR,BIHAR,Ganga,7.55,379.0,2.4,7.25,0.32,GANGA,2018-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,3118,GANGA AT U/S BHAGALPUR NEAR BARARIGHAT,BIHAR,Ganga,7.65,363.5,2.4,7.050000000000001,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2017,10113,"GANGA AT U/S JAIL GHAT, BUXAR (D/S CONFLUENCE OF THORA RIVER)",BIHAR,Ganga,8.0,369.0,2.05,8.4,,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2017,3116,GANGA AT U/S MUNGER,BIHAR,Ganga,7.8,305.0,2.2,7.6,,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,3116,GANGA AT U/S MUNGER (NEAR INTAKE WELL ON GANGA),BIHAR,Ganga,8.0,296.0,2.25,7.550000000000001,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2018,3117,GANGA AT U/S SULATANGANJ,BIHAR,Ganga,7.449999999999999,310.0,1.95,8.55,0.35,GANGA,2018-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2017,3117,GANGA AT U/S SULTANGANJ,BIHAR,Ganga,7.75,299.5,2.2,7.199999999999999,,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,3117,"GANGA AT U/S SULTANGANJ, BHAGALPUR",BIHAR,Ganga,7.85,301.5,1.95,7.3,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2018,3114,GANGA NEAR DANAPUR (NEAR PIPA PUL),BIHAR,Ganga,7.6,321.0,2.05,10.5,0.28,GANGA,2018-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,3114,"GANGA NEAR DANAPUR (NEAR PIPA PUL) ,PATNA",BIHAR,Ganga,7.75,287.5,2.05,7.25,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,4297,"KACHCHI-DARGAH-BIDUPUR ROAD BRIDGE, PATNA",BIHAR,Ganga,8.0,325.0,2.1,7.6,,Ganga,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2018,2552,PATNA TO GANDHI GHAT/NIT GHAT,BIHAR,Ganga,7.300000000000001,354.0,2.35,9.9,1.175,Ganga,2018-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2019,10131,RIVE GANGA AT U/S BARAHPUR BINDTOLI,BIHAR,Ganga,8.15,323.5,1.75,7.75,0.435,GANGA,2019-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2023,10162,RIVER GANGA AT ARA- CHAPRA ROAD BRIDGE (KOIILWAR BARHARA-CHAPRA ROAD),BIHAR,Ganga,,325.5,1.75,8.1,0.3249999999999999,GANGA,2023-06-30,UNKNOWN,pH missing,,UNKNOWN,Insufficient data for composite check
2021,10162,RIVER GANGA AT ARA- CHAPRA ROAD BRIDGE (KOILWER BANURA-CHAPRA ROAD),BIHAR,Ganga,7.85,345.0,1.9,8.2,0.4599999999999999,GANGA,2021-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2021,4301,"RIVER GANGA AT BAKHTIYARPUR-TAJPUR BRIDGE ON GANGA, ATHMALGOLA",BIHAR,Ganga,7.6,338.5,1.6,9.0,0.52,GANGA,2021-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2023,4301,"RIVER GANGA AT BAKHTIYARPUR-TAJPUR BRIDGE ON GANGA, ATHMALGOLA, PATNA",BIHAR,Ganga,,319.0,1.65,8.3,0.3,GANGA,2023-06-30,UNKNOWN,pH missing,,UNKNOWN,Insufficient data for composite check
2021,3123,"RIVER GANGA AT BARAHIYA, NEPALITOLA, MARANCHI, ;LAKSHISARAI",BIHAR,Ganga,7.9,324.0,1.95,9.1,0.6,GANGA,2021-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2023,3123,"RIVER GANGA AT BARAHIYA, NEPALITOLA, MARANCHI, HATHIDAH AT MOKAMA, PATNA",BIHAR,Ganga,,340.0,1.8,8.15,0.3,GANGA,2023-06-30,UNKNOWN,pH missing,,UNKNOWN,Insufficient data for composite check
2021,3115,RIVER GANGA AT BARH,BIHAR,Ganga,7.8,424.5,2.0,8.5,0.555,GANGA,2021-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2018,10115,RIVER GANGA AT BARKAGAON,BIHAR,Ganga,7.35,336.0,2.55,9.8,0.34,GANGA,2018-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2021,1819,RIVER GANGA AT BHAGALPUR,BIHAR,Ganga,7.95,313.5,2.0,8.6,0.475,GANGA,2021-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2023,1819,"RIVER GANGA AT BHAGALPUR, OPP. KUPPA GHAT",BIHAR,Ganga,,341.0,1.95,7.65,0.315,GANGA,2023-06-30,UNKNOWN,pH missing,,UNKNOWN,Insufficient data for composite check
2021,1074,RIVER GANGA AT BUXAR,BIHAR,Ganga,8.1,388.0,1.75,8.45,0.725,GANGA,2021-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2023,2551,"RIVER GANGA AT BUXAR, RAMREKHAGHAT",BIHAR,Ganga,,439.0,1.8,7.6,0.3,GANGA,2023-06-30,UNKNOWN,pH missing,,UNKNOWN,Insufficient data for composite check
2017,10138,RIVER GANGA AT CHAMPANAGAR,BIHAR,Ganga,7.7,346.5,2.3,7.0,,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2021,10138,"RIVER GANGA AT CHAMPANAGAR, BHAGALPUR",BIHAR,Ganga,8.0,306.0,2.6,7.55,13.15,GANGA,2021-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2023,10138,"RIVER GANGA AT CHAMPANAGAR, RASIDPUR, BHAGALPUR",BIHAR,Ganga,,333.0,1.55,,0.3,GANGA,2023-06-30,UNKNOWN,pH missing,,UNKNOWN,Insufficient data for composite check
2023,3118,RIVER GANGA AT D/S BHAGALPUR NEAR BARARIGHAT,BIHAR,Ganga,,366.5,3.3,,0.345,GANGA,2023-06-30,UNKNOWN,pH missing,,UNSAFE,BOD > 3 mg/L
2021,3113,RIVER GANGA AT D/S BUXAR NEAR ROAD BRIDGE,BIHAR,Ganga,7.9,412.5,3.7,8.0,0.585,GANGA,2021-06-30,SAFE,Within BIS acceptable pH,0.0,UNSAFE,BOD > 3 mg/L
2023,3113,RIVER GANGA AT D/S BUXAR NEAR VEER KUNWAR SINGH ROAD BRIDGE,BIHAR,Ganga,,429.5,1.8,7.7,0.315,GANGA,2023-06-30,UNKNOWN,pH missing,,UNKNOWN,Insufficient data for composite check
2017,10130,RIVER GANGA AT D/S NAWADAGHAT,BIHAR,Ganga,7.95,277.0,2.25,8.1,,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2021,10130,"RIVER GANGA AT D/S NAWADAGHAT , BARH ,PATNA",BIHAR,Ganga,7.85,309.5,1.85,8.9,0.65,GANGA,2021-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2019,10130,"RIVER GANGA AT D/S NAWADGHAT, BARH, PATNA",BIHAR,Ganga,8.2,357.5,1.7,7.8,0.3399999999999999,GANGA,2019-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2018,10114,RIVER GANGA AT D/S SARIKPUR,BIHAR,Ganga,7.75,321.5,2.05,8.75,0.39,GANGA,2018-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2023,1077,"RIVER GANGA AT DIGHA, NEAR J P SETU, PATNA U/S",BIHAR,Ganga,,334.0,1.6,8.350000000000001,0.3,GANGA,2023-06-30,UNKNOWN,pH missing,,UNKNOWN,Insufficient data for composite check
2023,2552,"RIVER GANGA AT GANDHIGHAT, NIT PATNA",BIHAR,Ganga,,328.5,1.75,7.8,0.3,GANGA,2023-06-30,UNKNOWN,pH missing,,UNKNOWN,Insufficient data for composite check
2021,10115,RIVER GANGA AT GULABI GHAT,BIHAR,Ganga,7.649999999999999,334.5,2.3,6.8500000000000005,0.585,GANGA,2021-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2023,10115,"RIVER GANGA AT GULABI GHAT, PATNA",BIHAR,Ganga,,324.5,1.85,7.65,0.3,GANGA,2023-06-30,UNKNOWN,pH missing,,UNKNOWN,Insufficient data for composite check
2022,4297,RIVER GANGA AT KACHCHI-DARGAH-,BIHAR,Ganga,7.925,377.0,2.0,7.65,,GANGA,2022-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2023,4297,"RIVER GANGA AT KACHCHI-DARGAH-BIDUPUR NEAR ROAD BRIDGE, PATNA",BIHAR,Ganga,,325.0,1.65,7.9,0.3,GANGA,2023-06-30,UNKNOWN,pH missing,,UNKNOWN,Insufficient data for composite check
2021,4297,"RIVER GANGA AT KACHCHI-DARGAH-BIDUPUR ROAD BRIDGE, PATNA",BIHAR,Ganga,7.800000000000001,323.5,2.1,8.05,0.625,GANGA,2021-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2021,1816,RIVER GANGA AT KAHALGAON,BIHAR,Ganga,7.7,323.5,1.9,8.15,0.48,GANGA,2021-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2023,2553,"RIVER GANGA AT KEWALA GHAT,FATUHA, PATNA",BIHAR,Ganga,,370.0,1.9,7.25,0.305,GANGA,2023-06-30,UNKNOWN,pH missing,,UNKNOWN,Insufficient data for composite check
2021,1077,"RIVER GANGA AT KURJI, PATNA U/S",BIHAR,Ganga,7.75,336.5,2.6,7.5,0.725,GANGA,2021-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
