station,2016,2017,2018,2019,2020,2021,2022
GANGA AT RAJMAHAL,,,8.0,,7.75,,
"GANGA AT RAJMAHAL,",,7.6,,8.35,,,
GANGA AT RISHIKESH U/S,,7.4,7.55,7.8,,,
"GANGA AT RISHIKESH U/S,",,,,,7.75,,
GANGA AT SERAMPORE,,7.9,7.7,,,,
"GANGA AT SERAMPORE, HOOGHLY,WEST BENGAL",,,,7.9,8.27,,
"GANGA AT SULTANGANJ, BHAGALPUR",,7.75,7.6,7.949999999999999,7.95,,
GANGA AT SULTANPUR (UTTARAKHAND),,,,,7.25,,
GANGA AT TARIGHAT GHAZIPUR (U.P.),,,,,7.75,,
GANGA AT THE CONFLUENCE OF SONE RIVER DORIGANJ,,,7.4,,,,
"GANGA AT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA",,7.85,,7.699999999999999,7.85,,
GANGA AT TRIGHAT (GHAZIPUR),,8.45,8.25,8.399999999999999,,,
"GANGA AT TRIGHAT (GHAZIPUR), U.P",,,,,8.3,,
GANGA AT U/S BHAGALPUR,,7.65,7.55,,,,
GANGA AT U/S BHAGALPUR NEAR BARARIGHAT,,,,8.1,7.65,,
"GANGA AT U/S JAIL GHAT, BUXAR (D/S CONFLUENCE OF THORA RIVER)",,8.0,,,,,
GANGA AT U/S MUNGER,,7.8,,,,,
GANGA AT U/S MUNGER (NEAR INTAKE WELL ON GANGA),,,7.4,8.1,8.0,,
GANGA AT U/S SULATANGANJ,,,7.449999999999999,,,,
GANGA AT U/S SULTANGANJ,,7.75,,,,,
"GANGA AT U/S SULTANGANJ, BHAGALPUR",,,,8.05,7.85,,
GANGA AT ULUBERIA,,7.55,,,,,
"GANGA AT ULUBERIA , HOWRAH,WEST BENGAL",,,,7.6,,,
GANGA AT VARANASI D-S (MALVIYA BRIDGE),,,8.2,,,,
GANGA AT VARANASI D/S (MALVIYA BRIDGE),,8.45,,8.3,,,
"GANGA AT VARANASI D/S (MALVIYA BRIDGE), U.P",,,,,8.25,,
GANGA AT VARANASI U-S (ASSIGHAT),,,8.3,,,,
GANGA AT VARANASI U/S (ASSIGHAT),,8.2,,8.25,,,
"GANGA AT VARANASI U/S (ASSIGHAT), U.P",,,,,8.25,,
