year,UNKNOWN,UNSAFE,SAFE,TOTAL,SAFE_%,UNSAFE_%,UNKNOWN_%
2016,1,1,0,2,0.0,50.0,50.0
2017,42,25,0,67,0.0,37.3134328358209,62.6865671641791
2018,52,32,0,84,0.0,38.095238095238095,61.904761904761905
2019,58,25,0,83,0.0,30.120481927710845,69.87951807228916
2020,63,22,0,85,0.0,25.88235294117647,74.11764705882354
2021,71,22,0,93,0.0,23.655913978494624,76.34408602150538
2022,63,26,0,89,0.0,29.213483146067414,70.78651685393258
2023,72,20,0,92,0.0,21.73913043478261,78.26086956521739
